,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Advanced Composition,Non-Western Cultures,Western/Comparative Cultures,US Minority Cultures,Historical & Philosophical Perspectives,Literature & the Arts,Life Sciences,Physical Sciences,Quantitative Reasoning 1,Quantitative Reasoning 2,Behavioral Sciences,Social Sciences
33,2019,Fall,2019-fa,AE 443,Aerospace Systems Design II,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
34,2019,Fall,2019-fa,AFAS 120,Intro to US Armed Forces,,,HP,,,,0,0,0,0,1,0,0,0,0,0,0,0
35,2019,Fall,2019-fa,AFRO 100,Intro to African American St,,US,,,,SS,0,0,0,1,0,0,0,0,0,0,0,1
36,2019,Fall,2019-fa,AFRO 101,"Black America, 1619-Present",,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
37,2019,Fall,2019-fa,AFRO 103,Black Women in the Diaspora,,US,,,,,0,0,0,1,0,0,0,0,0,0,0,0
38,2019,Fall,2019-fa,AFRO 105,Black Literature in America,,US,LA,,,,0,0,0,1,0,1,0,0,0,0,0,0
39,2019,Fall,2019-fa,AFRO 106,Hist Arch Americas,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
40,2019,Fall,2019-fa,AFRO 132,African American Music,,US,LA,,,,0,0,0,1,0,1,0,0,0,0,0,0
41,2019,Fall,2019-fa,AFRO 201,US Racial & Ethnic Politics,,US,,,,SS,0,0,0,1,0,0,0,0,0,0,0,1
42,2019,Fall,2019-fa,AFRO 211,Intro to African-American Film,,US,,,,,0,0,0,1,0,0,0,0,0,0,0,0
43,2019,Fall,2019-fa,AFRO 212,Intro African American Theat,,US,,,,,0,0,0,1,0,0,0,0,0,0,0,0
44,2019,Fall,2019-fa,AFRO 215,US Citizenship Comparatively,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
45,2019,Fall,2019-fa,AFRO 221,History of the Prison,,WCC,HP,,,,0,0,1,0,1,0,0,0,0,0,0,0
46,2019,Fall,2019-fa,AFRO 224,Humanist Persp of Afro-Am Exp,,US,LA,,,,0,0,0,1,0,1,0,0,0,0,0,0
47,2019,Fall,2019-fa,AFRO 228,Hip Hop Music: History and Culture,,US,LA,,,,0,0,0,1,0,1,0,0,0,0,0,0
48,2019,Fall,2019-fa,AFRO 231,Lang Diff Dis: American Persp,,US,,,,,0,0,0,1,0,0,0,0,0,0,0,0
49,2019,Fall,2019-fa,AFRO 243,Pan Africanism,,NW,,,,SS,0,1,0,0,0,0,0,0,0,0,0,1
50,2019,Fall,2019-fa,AFRO 250,Introduction to Health and Wellness in the Black Community,,US,,,,SS,0,0,0,1,0,0,0,0,0,0,0,1
51,2019,Fall,2019-fa,AFRO 259,Early African American Literature and Culture,,US,,,,,0,0,0,1,0,0,0,0,0,0,0,0
52,2019,Fall,2019-fa,AFRO 260,Modern African American Literature and Culture,,US,,,,,0,0,0,1,0,0,0,0,0,0,0,0
53,2019,Fall,2019-fa,AFRO 261,Intro to the African Diaspora,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
54,2019,Fall,2019-fa,AFRO 272,Minority Images in Amer Film,,US,LA,,,,0,0,0,1,0,1,0,0,0,0,0,0
55,2019,Fall,2019-fa,AFRO 275,Afro-American History to 1877,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
56,2019,Fall,2019-fa,AFRO 276,Afro-American Hist Since 1877,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
57,2019,Fall,2019-fa,AFRO 281,Constructing Race in America,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
58,2019,Fall,2019-fa,AFRO 287,African-American Women,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
59,2019,Fall,2019-fa,AFRO 290,Af Am Urban Hist Since 1917,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
60,2019,Fall,2019-fa,AFRO 310,Race and Cultural Diversity,ACP,US,,,,,1,0,0,1,0,0,0,0,0,0,0,0
61,2019,Fall,2019-fa,AFRO 340,Dancing Black Popular Culture,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
62,2019,Fall,2019-fa,AFRO 372,Class Politics & Blk Community,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
63,2019,Fall,2019-fa,AFRO 400,African Diasporic Thought in the Caribbean,,NW,,,,,0,1,0,0,0,0,0,0,0,0,0,0
64,2019,Fall,2019-fa,AFRO 460,Slavery in the United States,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
65,2019,Fall,2019-fa,AFRO 474,"Black Freed Move, 1955-Present",ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
66,2019,Fall,2019-fa,AFST 103,Black Women in the Diaspora,,US,,,,,0,0,0,1,0,0,0,0,0,0,0,0
67,2019,Fall,2019-fa,AFST 209,Constr Afr and Carib Identity,,NW,,,,,0,1,0,0,0,0,0,0,0,0,0,0
68,2019,Fall,2019-fa,AFST 210,Introduction to Modern African Literature,,NW,LA,,,,0,1,0,0,0,1,0,0,0,0,0,0
69,2019,Fall,2019-fa,AFST 213,African Muslim Societies,,NW,HP,,,,0,1,0,0,1,0,0,0,0,0,0,0
70,2019,Fall,2019-fa,AFST 222,Introduction to Modern Africa,,NW,,,,,0,1,0,0,0,0,0,0,0,0,0,0
71,2019,Fall,2019-fa,AFST 243,Pan Africanism,,NW,,,,SS,0,1,0,0,0,0,0,0,0,0,0,1
72,2019,Fall,2019-fa,AFST 254,Economic Systems in Africa,,NW,,,,SS,0,1,0,0,0,0,0,0,0,0,0,1
73,2019,Fall,2019-fa,AFST 266,African Film and Society,,NW,,,,,0,1,0,0,0,0,0,0,0,0,0,0
74,2019,Fall,2019-fa,AGCM 220,Communicating Agriculture,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
75,2019,Fall,2019-fa,AGCM 320,Public Information Campaigns,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
76,2019,Fall,2019-fa,AGED 230,Leadership Communications,ACP,,,,,SS,1,0,0,0,0,0,0,0,0,0,0,1
77,2019,Fall,2019-fa,AGED 260,Intro to Leadership Studies,,,,,,SS,0,0,0,0,0,0,0,0,0,0,0,1
78,2019,Fall,2019-fa,AGED 340,Leadership Ethics & Pluralism,,US,,,,,0,0,0,1,0,0,0,0,0,0,0,0
79,2019,Fall,2019-fa,AGED 360,Advanced Leadership Studies,,,,,,SS,0,0,0,0,0,0,0,0,0,0,0,1
80,2019,Fall,2019-fa,AIS 101,Intro to Amer Indian Studies,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
81,2019,Fall,2019-fa,AIS 102,Contemp Issues in Ind Country,,US,,,,SS,0,0,0,1,0,0,0,0,0,0,0,1
82,2019,Fall,2019-fa,AIS 140,Native Religious Traditions,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
83,2019,Fall,2019-fa,AIS 165,Lang & Culture Native North Am,,NW,,,,,0,1,0,0,0,0,0,0,0,0,0,0
84,2019,Fall,2019-fa,AIS 265,Intro to American Indian Lit,,US,LA,,,,0,0,0,1,0,1,0,0,0,0,0,0
85,2019,Fall,2019-fa,AIS 275,Am Indian and Indigenous Film,,US,LA,,,,0,0,0,1,0,1,0,0,0,0,0,0
86,2019,Fall,2019-fa,AIS 277,Encounters in Native America,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
87,2019,Fall,2019-fa,AIS 278,Native American History,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
88,2019,Fall,2019-fa,AIS 285,Indigenous Thinkers,,NW,HP,,,,0,1,0,0,1,0,0,0,0,0,0,0
89,2019,Fall,2019-fa,AIS 288,American Indians of Illinois,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
90,2019,Fall,2019-fa,AIS 295,US Citizenship Comparatively,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
91,2019,Fall,2019-fa,ANSC 110,Life With Animals and Biotech,,,,LS,,,0,0,0,0,0,0,1,0,0,0,0,0
92,2019,Fall,2019-fa,ANSC 205,World Animal Resources,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
93,2019,Fall,2019-fa,ANSC 207,Companion Animal Biology &Care,,,,LS,,,0,0,0,0,0,0,1,0,0,0,0,0
94,2019,Fall,2019-fa,ANSC 250,Companion Animals in Society,,WCC,,,,,0,0,1,0,0,0,0,0,0,0,0,0
95,2019,Fall,2019-fa,ANSC 305,Human Animal Interactions,,,,,,SS,0,0,0,0,0,0,0,0,0,0,0,1
96,2019,Fall,2019-fa,ANTH 101,Introduction to Anthropology,,WCC,,,,SS,0,0,1,0,0,0,0,0,0,0,0,1
97,2019,Fall,2019-fa,ANTH 102,Human Origins and Culture,,,,,,SS,0,0,0,0,0,0,0,0,0,0,0,1
98,2019,Fall,2019-fa,ANTH 103,Anthro in a Changing World,,NW,,,,SS,0,1,0,0,0,0,0,0,0,0,0,1
99,2019,Fall,2019-fa,ANTH 104,Talking Culture,,,,,,SS,0,0,0,0,0,0,0,0,0,0,0,1
100,2019,Fall,2019-fa,ANTH 105,World Archaeology,,,HP,,,,0,0,0,0,1,0,0,0,0,0,0,0
101,2019,Fall,2019-fa,ANTH 106,Hist Arch Americas,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
102,2019,Fall,2019-fa,ANTH 108,Religion & Society in West I,,WCC,HP,,,,0,0,1,0,1,0,0,0,0,0,0,0
103,2019,Fall,2019-fa,ANTH 109,Religion & Society in West II,,WCC,HP,,,,0,0,1,0,1,0,0,0,0,0,0,0
104,2019,Fall,2019-fa,ANTH 130,History of South Asia,,NW,HP,,,,0,1,0,0,1,0,0,0,0,0,0,0
105,2019,Fall,2019-fa,ANTH 143,Biology of Human Behavior,,,,LS,,,0,0,0,0,0,0,1,0,0,0,0,0
106,2019,Fall,2019-fa,ANTH 157,The Archaeology of Illinois,,,HP,,,,0,0,0,0,1,0,0,0,0,0,0,0
107,2019,Fall,2019-fa,ANTH 165,Lang & Culture Native North Am,,NW,,,,,0,1,0,0,0,0,0,0,0,0,0,0
108,2019,Fall,2019-fa,ANTH 175,Archaeology and Pop Culture,,,HP,,,,0,0,0,0,1,0,0,0,0,0,0,0
109,2019,Fall,2019-fa,ANTH 180,The Archaeology of Death,,WCC,,,,SS,0,0,1,0,0,0,0,0,0,0,0,1
110,2019,Fall,2019-fa,ANTH 182,Latin American Cultures,,NW,,,,SS,0,1,0,0,0,0,0,0,0,0,0,1
111,2019,Fall,2019-fa,ANTH 209,"Food, Culture, and Society",,,,,,SS,0,0,0,0,0,0,0,0,0,0,0,1
112,2019,Fall,2019-fa,ANTH 210,Families in Global Perspective,,NW,,,,SS,0,1,0,0,0,0,0,0,0,0,0,1
113,2019,Fall,2019-fa,ANTH 222,Introduction to Modern Africa,,NW,,,,,0,1,0,0,0,0,0,0,0,0,0,0
114,2019,Fall,2019-fa,ANTH 223,Exploring African Cities,,NW,HP,,,,0,1,0,0,1,0,0,0,0,0,0,0
115,2019,Fall,2019-fa,ANTH 224,Tourist Cities and Sites,,,,,,SS,0,0,0,0,0,0,0,0,0,0,0,1
116,2019,Fall,2019-fa,ANTH 225,Women in Prehistory,,,,,,SS,0,0,0,0,0,0,0,0,0,0,0,1
117,2019,Fall,2019-fa,ANTH 241,Human Biological Variation,,,,LS,,,0,0,0,0,0,0,1,0,0,0,0,0
118,2019,Fall,2019-fa,ANTH 246,Forensic Science,,,,LS,,,0,0,0,0,0,0,1,0,0,0,0,0
119,2019,Fall,2019-fa,ANTH 249,Evolution and Human Disease,,,,LS,,,0,0,0,0,0,0,1,0,0,0,0,0
120,2019,Fall,2019-fa,ANTH 250,The World Through Museums,,WCC,,,,SS,0,0,1,0,0,0,0,0,0,0,0,1
121,2019,Fall,2019-fa,ANTH 261,Intro to the African Diaspora,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
122,2019,Fall,2019-fa,ANTH 262,Women's Lives,,,,,,SS,0,0,0,0,0,0,0,0,0,0,0,1
123,2019,Fall,2019-fa,ANTH 266,African Film and Society,,NW,,,,,0,1,0,0,0,0,0,0,0,0,0,0
124,2019,Fall,2019-fa,ANTH 268,Images of the Other,ACP,WCC,HP,,,,1,0,1,0,1,0,0,0,0,0,0,0
125,2019,Fall,2019-fa,ANTH 271,Language in Culture-ACP,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
126,2019,Fall,2019-fa,ANTH 272,Language and Culture in Turkey,,NW,,,,,0,1,0,0,0,0,0,0,0,0,0,0
127,2019,Fall,2019-fa,ANTH 277,"Ancient Cities, Sacred Land",,WCC,,,,SS,0,0,1,0,0,0,0,0,0,0,0,1
128,2019,Fall,2019-fa,ANTH 285,Intro to Korea Through Film,,NW,,,,,0,1,0,0,0,0,0,0,0,0,0,0
129,2019,Fall,2019-fa,ANTH 286,Southeast Asian Civilizations,,NW,HP,,,,0,1,0,0,1,0,0,0,0,0,0,0
130,2019,Fall,2019-fa,ANTH 288,American Indians of Illinois,,US,HP,,,,0,0,0,1,1,0,0,0,0,0,0,0
131,2019,Fall,2019-fa,ANTH 290,Jewish Cultures of the World,,NW,,,,,0,1,0,0,0,0,0,0,0,0,0,0
132,2019,Fall,2019-fa,ANTH 362,"Body, Personhood, and Culture",,,,,,SS,0,0,0,0,0,0,0,0,0,0,0,1
133,2019,Fall,2019-fa,ANTH 393,The World of Jewish Sepharad,,WCC,HP,,,,0,0,1,0,1,0,0,0,0,0,0,0
134,2019,Fall,2019-fa,ANTH 414,Writing Ethnography,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
135,2019,Fall,2019-fa,ARAB 150,Lang&Culture of Arab World,,NW,,,,,0,1,0,0,0,0,0,0,0,0,0,0
136,2019,Fall,2019-fa,ARCH 164,Architecture as a Second Language,,,LA,,,,0,0,0,0,0,1,0,0,0,0,0,0
137,2019,Fall,2019-fa,ARCH 222,Islamic Gardens & Architecture,,NW,HP,,,,0,1,0,0,1,0,0,0,0,0,0,0
138,2019,Fall,2019-fa,ARCH 314,History of World Landscapes,ACP,WCC,HP,,,,1,0,1,0,1,0,0,0,0,0,0,0
139,2019,Fall,2019-fa,ART 100,Understanding Visual Culture,,,LA,,,,0,0,0,0,0,1,0,0,0,0,0,0
140,2019,Fall,2019-fa,ART 102,Drawing for Non-Majors,,,LA,,,,0,0,0,0,0,1,0,0,0,0,0,0
141,2019,Fall,2019-fa,ART 103,Painting for Non-Majors,,,LA,,,,0,0,0,0,0,1,0,0,0,0,0,0
142,2019,Fall,2019-fa,ART 104,Sculpture for Non-Majors,,,LA,,,,0,0,0,0,0,1,0,0,0,0,0,0
143,2019,Fall,2019-fa,ART 105,Visual Design for Non-Majors,,,LA,,,,0,0,0,0,0,1,0,0,0,0,0,0
144,2019,Fall,2019-fa,ART 140,Introduction to Art,,,LA,,,,0,0,0,0,0,1,0,0,0,0,0,0
145,2019,Fall,2019-fa,ART 205,Experience & Meaning in Design,,WCC,,,,BSC,0,0,1,0,0,0,0,0,0,0,1,0
146,2019,Fall,2019-fa,ART 208,Digital Art and Sustainability,,,LA,,,,0,0,0,0,0,1,0,0,0,0,0,0
147,2019,Fall,2019-fa,ART 221,Visual Culture of Fandoms,,,LA,,,,0,0,0,0,0,1,0,0,0,0,0,0
148,2019,Fall,2019-fa,ART 240,Learning Through Contemporary Art,,,LA,,,,0,0,0,0,0,1,0,0,0,0,0,0
149,2019,Fall,2019-fa,ART 280,Exploring Visual Culture,,WCC,LA,,,,0,0,1,0,0,1,0,0,0,0,0,0
150,2019,Fall,2019-fa,ART 310,Design Thinking,,,LA,,,,0,0,0,0,0,1,0,0,0,0,0,0
151,2019,Fall,2019-fa,ART 350,Writing with Video,,WCC,LA,,,,0,0,1,0,0,1,0,0,0,0,0,0
152,2019,Fall,2019-fa,ARTD 209,Chado (The Way of Tea),,NW,,,,,0,1,0,0,0,0,0,0,0,0,0,0
153,2019,Fall,2019-fa,ARTD 240,eWaste: Sustainable Design,,,LA,,,,0,0,0,0,0,1,0,0,0,0,0,0
154,2019,Fall,2019-fa,ARTH 110,Introduction to the History of Art and Visual Culture,,WCC,LA,,,,0,0,1,0,0,1,0,0,0,0,0,0
155,2019,Fall,2019-fa,ARTH 111,Ancient to Medieval Art,,,LA,,,,0,0,0,0,0,1,0,0,0,0,0,0
156,2019,Fall,2019-fa,ARTH 112,Renaissance to Modern Art,,,LA,,,,0,0,0,0,0,1,0,0,0,0,0,0
157,2019,Fall,2019-fa,ARTH 113,Introduction to African Art,,NW,,,,,0,1,0,0,0,0,0,0,0,0,0,0
158,2019,Fall,2019-fa,ARTH 114,Introduction to East Asian Art,,NW,,,,,0,1,0,0,0,0,0,0,0,0,0,0
159,2019,Fall,2019-fa,ARTH 115,Art in a Global Context,,NW,LA,,,,0,1,0,0,0,1,0,0,0,0,0,0
160,2019,Fall,2019-fa,ARTH 211,Design History Survey,,,LA,,,,0,0,0,0,0,1,0,0,0,0,0,0
161,2019,Fall,2019-fa,ARTH 217,Development of Ancient Cities,,WCC,HP,,,,0,0,1,0,1,0,0,0,0,0,0,0
162,2019,Fall,2019-fa,ARTH 241,"Modern Art, 1880-1940",,,LA,,,,0,0,0,0,0,1,0,0,0,0,0,0
163,2019,Fall,2019-fa,ARTH 242,Art Since 1940,,,LA,,,,0,0,0,0,0,1,0,0,0,0,0,0
164,2019,Fall,2019-fa,ARTH 260,Graffiti and Murals,,WCC,LA,,,,0,0,1,0,0,1,0,0,0,0,0,0
165,2019,Fall,2019-fa,ASST 104,Asian Mythology,,NW,HP,,,,0,1,0,0,1,0,0,0,0,0,0,0
166,2019,Fall,2019-fa,ASST 208,Cultures & Literatures of South Asia,,NW,LA,,,,0,1,0,0,0,1,0,0,0,0,0,0
167,2019,Fall,2019-fa,ASST 218,S Asian Cultural Landscapes,,NW,LA,,,,0,1,0,0,0,1,0,0,0,0,0,0
168,2019,Fall,2019-fa,ASST 286,Southeast Asian Civilizations,,NW,HP,,,,0,1,0,0,1,0,0,0,0,0,0,0
169,2019,Fall,2019-fa,ASTR 100,Introduction to Astronomy,,,,PS,,,0,0,0,0,0,0,0,1,0,0,0,0
170,2019,Fall,2019-fa,ASTR 121,Solar System and Worlds Beyond,,,,PS,QR2,,0,0,0,0,0,0,0,1,0,1,0,0
171,2019,Fall,2019-fa,ASTR 122,Stars and Galaxies,,,,PS,QR2,,0,0,0,0,0,0,0,1,0,1,0,0
172,2019,Fall,2019-fa,ASTR 150,Killer Skies: Astro-Disasters,,,,PS,,,0,0,0,0,0,0,0,1,0,0,0,0
173,2019,Fall,2019-fa,ASTR 210,Introduction to Astrophysics,,,,PS,,,0,0,0,0,0,0,0,1,0,0,0,0
174,2019,Fall,2019-fa,ASTR 401,Scientific Writing for Astronomy,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
175,2019,Fall,2019-fa,ASTR 490,Senior Thesis,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
176,2019,Fall,2019-fa,ATMS 100,Introduction to Meteorology,,,,PS,,,0,0,0,0,0,0,0,1,0,0,0,0
177,2019,Fall,2019-fa,ATMS 120,Severe and Hazardous Weather,,,,PS,QR2,,0,0,0,0,0,0,0,1,0,1,0,0
178,2019,Fall,2019-fa,ATMS 140,Climate and Global Change,,,,PS,,,0,0,0,0,0,0,0,1,0,0,0,0
179,2019,Fall,2019-fa,ATMS 315,Meteorological Instrumentation,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
180,2019,Fall,2019-fa,ATMS 322,Soc Impacts Weather & Climate,,,,,,SS,0,0,0,0,0,0,0,0,0,0,0,1
181,2019,Fall,2019-fa,BCS 115,South Slavic Cultures,,NW,,,,SS,0,1,0,0,0,0,0,0,0,0,0,1
182,2019,Fall,2019-fa,BCS 215,Yugoslavia and After,,WCC,,,,,0,0,1,0,0,0,0,0,0,0,0,0
183,2019,Fall,2019-fa,BIOC 460,Biochemistry Senior Seminar,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
184,2019,Fall,2019-fa,BTW 250,Principles Bus Comm,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
185,2019,Fall,2019-fa,BTW 261,Principles Tech Comm,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
186,2019,Fall,2019-fa,BTW 263,Writing in the Disciplines,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
187,2019,Fall,2019-fa,CHBE 101,Hidden World of Engineering,,,,PS,,,0,0,0,0,0,0,0,1,0,0,0,0
188,2019,Fall,2019-fa,CHBE 430,Unit Operations Laboratory,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
189,2019,Fall,2019-fa,CHBE 431,Process Design,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
190,2019,Fall,2019-fa,CHEM 101,Introductory Chemistry,,,,PS,,,0,0,0,0,0,0,0,1,0,0,0,0
191,2019,Fall,2019-fa,CHEM 102,General Chemistry I,,,,PS,,,0,0,0,0,0,0,0,1,0,0,0,0
192,2019,Fall,2019-fa,CHEM 103,General Chemistry Lab I,,,,PS,,,0,0,0,0,0,0,0,1,0,0,0,0
193,2019,Fall,2019-fa,CHEM 104,General Chemistry II,,,,PS,,,0,0,0,0,0,0,0,1,0,0,0,0
194,2019,Fall,2019-fa,CHEM 105,General Chemistry Lab II,,,,PS,,,0,0,0,0,0,0,0,1,0,0,0,0
195,2019,Fall,2019-fa,CHEM 108,"Chemistry, Everyday Phenomena",,,,PS,,,0,0,0,0,0,0,0,1,0,0,0,0
196,2019,Fall,2019-fa,CHEM 202,Accelerated Chemistry I,,,,PS,,,0,0,0,0,0,0,0,1,0,0,0,0
197,2019,Fall,2019-fa,CHEM 204,Accelerated Chemistry II,,,,PS,,,0,0,0,0,0,0,0,1,0,0,0,0
198,2019,Fall,2019-fa,CHEM 317,Inorganic Chemistry Lab,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
199,2019,Fall,2019-fa,CHEM 437,Organic Chemistry Lab,ACP,,,,,,1,0,0,0,0,0,0,0,0,0,0,0
200,2019,Fall,2019-fa,CHLH 100,Contemporary Health,,,,,,SS,0,0,0,0,0,0,0,0,0,0,0,1
201,2019,Fall,2019-fa,CHLH 101,Introduction to Public Health,,,,,,SS,0,0,0,0,0,0,0,0,0,0,0,1
202,2019,Fall,2019-fa,CHLH 244,Health Statistics,,,,,QR1,,0,0,0,0,0,0,0,0,1,0,0,0
203,2019,Fall,2019-fa,CHLH 260,Introduction to Medical Ethics,,,HP,,,,0,0,0,0,1,0,0,0,0,0,0,0
204,2019,Fall,2019-fa,CHLH 274,Introduction to Epidemiology,,,,,QR1,,0,0,0,0,0,0,0,0,1,0,0,0
205,2019,Fall,2019-fa,CHLH 304,Foundations of Health Behavior,ACP,,,,,BSC,1,0,0,0,0,0,0,0,0,0,1,0
206,2019,Fall,2019-fa,CHLH 330,Disability in American Society,,,,,,SS,0,0,0,0,0,0,0,0,0,0,0,1
207,2019,Fall,2019-fa,CHLH 421,Health Data Analysis,,,,,QR2,,0,0,0,0,0,0,0,0,0,1,0,0
